,metallicity,gas disk (Msun),solid disk (Mearth),life time (yr),luminosity,star mass (solar mass)
29782,0.011027547,0.022135817,75.010902,4410630.2,0.22120992,0.5
29783,0.022315056,0.0014504597,93.082509,657857.42,0.93790896,0.5
29784,0.011720317,0.0030887325,115.21771,742685.21,0.84694023,0.5
29785,0.0078376929,0.0014481443,118.95695,567081.7,1.0645156,0.5
29786,0.011849449,0.0016806504,64.18909,674262.45,0.91737985,0.5
29787,0.01120784,0.0062017245,47.261564,1048962.5,0.64101246,0.5
29788,0.018310949,0.015747185,101.77828,2329002.1,0.35288987,0.5
29789,0.028910328,0.0044085378,87.703058,1034041.7,0.64773264,0.5
29790,0.014133453,0.0011191985,58.785945,624370.66,0.97841214,0.5
29791,0.010360632,0.022378132,199.85582,1248261.1,0.56261546,0.5
29792,0.021026902,0.018365419,206.75973,1673809.2,0.45140041,0.5
29793,0.011036109,0.016003026,57.374621,3538219.1,0.25882817,0.5
29794,0.02281281,0.00057557223,48.773589,518737.62,1.1511134,0.5
29795,0.01673083,0.0045373324,59.177883,910375.39,0.71717434,0.5
29796,0.026131758,0.0038541341,119.63121,834728.24,0.76783282,0.5
29797,0.012654764,0.00079119831,113.56546,538467.93,1.1115399,0.5
29798,0.0069795504,0.03080656,192.2646,1148986.1,0.59826698,0.5
29799,0.007679689,0.010695658,69.50685,1115645.7,0.61208941,0.5
29800,0.011384147,0.0097087766,103.4643,1104257.3,0.61669904,0.5
29801,0.020503917,0.0018218838,146.01904,669878.01,0.92289462,0.5
29802,0.019438136,0.0092911531,102.19998,1471360.6,0.49696323,0.5
29803,0.010395005,0.0017212716,124.1778,619486.47,0.98606011,0.5
29804,0.0097719269,0.0006650512,41.630815,510904.8,1.1663019,0.5
29805,0.027515888,0.0046594564,39.650539,3090714.2,0.28608672,0.5
29806,0.013088473,0.0091924256,104.6899,1148055.6,0.59903479,0.5
29807,0.013487328,0.026347301,115.13893,3570509.3,0.25704326,0.5
29808,0.0093345537,0.020679991,150.66783,1339310.0,0.53361653,0.5
29809,0.014513179,0.026698511,129.04344,4221862.0,0.22768838,0.5
29810,0.015817345,0.00045350925,121.14835,436898.38,1.196884,0.5
29811,0.0049210375,0.0042250527,59.603636,758183.74,0.8310362,0.5
29812,0.013588625,0.034601353,194.41226,2393374.9,0.34604273,0.5
29813,0.012894109,0.0054407763,89.684509,863935.64,0.74763164,0.5
29814,0.017365955,0.02130431,139.57248,2252632.7,0.36214209,0.5
29815,0.010969164,0.034937008,124.50477,2630985.7,0.32270327,0.5
29816,0.0072994748,0.053703379,211.16986,1953651.1,0.40249263,0.5
29817,0.023558217,0.0042468377,59.699887,1049189.5,0.64090567,0.5
29818,0.019267868,0.0088780791,119.94158,1161476.6,0.59374622,0.5
29819,0.0075394481,0.088187308,184.08978,10681737.0,0.11831935,0.5
29820,0.031910406,0.016693169,207.62989,2407865.8,0.3445622,0.5
29821,0.010206185,0.0023836857,87.913966,689089.58,0.90097228,0.5
29822,0.017939182,0.00082530099,179.46297,532913.39,1.1209089,0.5
29823,0.015929201,0.019089374,94.339444,5016583.7,0.20295283,0.5
29824,0.015817428,0.0082101043,100.38633,1086449.2,0.62446715,0.5
29825,0.0041817023,0.072397635,98.486323,2563844.6,0.32871953,0.5
29826,0.015392317,0.026613633,134.29037,4094421.2,0.23245841,0.5
29827,0.011585777,0.023846142,133.8026,1875854.4,0.41543909,0.5
29828,0.013370921,0.00096144685,121.98275,539753.01,1.1089775,0.5
29829,0.017152736,0.0012954777,109.076,635475.09,0.9637518,0.5
29830,0.014086563,0.050708611,214.40269,10187328.0,0.12260432,0.5
29831,0.045056243,0.0013239334,31.086379,895795.97,0.72784063,0.5
29832,0.0065177168,0.0017721721,138.98783,621043.5,0.98382098,0.5
29833,0.011382294,0.00032101147,16.818448,432457.4,1.196884,0.5
29834,0.030530042,0.0028365565,68.104111,941558.88,0.69817603,0.5
29835,0.0085156697,0.047030784,138.5256,2620208.6,0.32365113,0.5
29836,0.019183637,0.00046875724,63.991473,488653.62,1.196884,0.5
29837,0.0070834989,0.019072669,123.05547,1135974.2,0.60393384,0.5
29838,0.012756123,0.017822535,92.964752,1786296.1,0.43022055,0.5
29839,0.0096435674,0.020716238,77.369038,2112962.9,0.37984833,0.5
29840,0.011000088,0.004169107,52.174415,873293.97,0.74169822,0.5
29841,0.030217319,0.0089783313,186.60444,1072878.5,0.63047195,0.5
29842,0.021976265,0.0089745642,172.01794,1118782.9,0.61086186,0.5
29843,0.013776582,0.0042934436,33.899235,1178470.0,0.58761231,0.5
29844,0.011375236,0.0034258354,17.419141,1391993.7,0.51829219,0.5
29845,0.01107908,0.011782297,110.45329,1052955.7,0.63905768,0.5
29846,0.0096925526,0.0056872539,50.578311,979684.4,0.67658924,0.5
29847,0.016970221,0.0097589439,64.976577,1719437.3,0.4421114,0.5
29848,0.011231263,0.0051565876,56.48439,911506.31,0.71627601,0.5
29849,0.017720717,0.006522096,73.342106,1140439.1,0.60211262,0.5
29850,0.040183254,0.0018673565,184.08083,708509.5,0.87967393,0.5
29851,0.010529804,0.0076429984,130.29132,864269.84,0.74783764,0.5
29852,0.013121795,0.0017753635,112.7809,622488.22,0.98172468,0.5
29853,0.017270418,0.00080857891,70.819855,553753.85,1.0853819,0.5
29854,0.021073456,0.012309937,101.15457,2906749.4,0.29960589,0.5
29855,0.010812831,0.0023056349,208.00707,631366.35,0.96896429,0.5
29856,0.016933709,0.01546397,158.0512,1324155.3,0.53794316,0.5
29857,0.0087415138,0.010321779,70.796459,1192268.1,0.5823543,0.5
29858,0.012186184,0.0015949776,31.479949,677163.69,0.91377557,0.5
29859,0.02230915,0.00072501929,105.32594,533988.5,1.1202997,0.5
29860,0.010077075,0.00044532348,29.20743,478788.69,1.196884,0.5
29861,0.0050577447,0.0049142523,23.787362,891091.71,0.73079798,0.5
29862,0.012501538,0.0030603491,108.76967,773745.05,0.817356,0.5
29863,0.0072878582,0.010773998,49.3193,1338217.1,0.53392795,0.5
29864,0.026433534,0.013136562,143.28952,1763152.1,0.4342492,0.5
29865,0.025553043,0.00024420878,32.069844,422908.46,1.196884,0.5
29866,0.021270619,0.0087245226,81.778404,1659427.9,0.45447314,0.5
29867,0.0081841958,0.0011834402,115.79003,579757.51,1.0443531,0.5
29868,0.0062966094,0.0029391916,22.17875,798543.06,0.7969231,0.5
29869,0.0059350939,0.0035871096,149.78312,691251.44,0.89857539,0.5
29870,0.013358782,0.027164332,127.52706,2940734.6,0.29714286,0.5
29871,0.011302766,0.0010790906,62.930237,609601.43,0.99986722,0.5
29872,0.027791975,0.0004766104,20.292731,544795.83,1.1007515,0.5
29873,0.034588358,0.00023686699,55.432759,410042.32,1.196884,0.5
29874,0.031081743,0.00073507025,52.366128,578299.33,1.0467713,0.5
29875,0.012129788,0.01318517,90.734306,1331318.0,0.53591139,0.5
29876,0.014647118,0.0067736664,112.95136,940979.57,0.69854562,0.5
